,Average,Perc50,Perc90,Perc95,Perc99,Unit
BenchmarkPerfScheduling/SchedulingBasic/500Nodes/namespace-2,,,,,,
SchedulingThroughput,774,774,774,774,774,pods/s
BenchmarkPerfScheduling/SchedulingBasic/500Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,3.496554457999997,1.6993006993006994,9.000000000000002,14.555555555555555,29.09090909090909,ms
BenchmarkPerfScheduling/SchedulingBasic/500Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,485.18835312700025,409.02255639097746,1121.5841584158418,1200.792079207921,1264.1584158415842,ms
BenchmarkPerfScheduling/SchedulingBasic/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.31499260500000026,0.1673469387755102,0.6458715596330276,1.0133333333333334,3.04,ms
BenchmarkPerfScheduling/SchedulingBasic/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.5956059060000003,0.3480712166172107,1.3,1.8424242424242427,5.333333333333334,ms
BenchmarkPerfScheduling/SchedulingBasic/5000Nodes/namespace-2,,,,,,
SchedulingThroughput,500,193,807,807,807,pods/s
BenchmarkPerfScheduling/SchedulingBasic/5000Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,2.577241741999998,2.0541871921182264,4.240963855421687,6.650602409638554,13.333333333333332,ms
BenchmarkPerfScheduling/SchedulingBasic/5000Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,570.6509785999996,570.6358381502889,1129.4117647058824,1204.705882352941,1264.9411764705883,ms
BenchmarkPerfScheduling/SchedulingBasic/5000Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.2950973920000002,0.1894454382826476,0.6657342657342659,0.8340425531914893,1.5148936170212768,ms
BenchmarkPerfScheduling/SchedulingBasic/5000Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.6651619929999993,0.6210526315789474,1.1659574468085108,1.5914893617021277,3.16,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/500Nodes/sched-1,,,,,,
SchedulingThroughput,400,400,400,400,400,pods/s
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/500Nodes/sched-1,,,,,,
scheduler_pod_scheduling_duration_seconds,230.94533271499972,220.60606060606062,531.5254237288136,585.7627118644069,629.1525423728814,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/500Nodes/sched-1,,,,,,
scheduler_framework_extension_point_duration_seconds,0.4563744275000002,0.4621359223300971,0.7728155339805826,1.0086956521739132,1.565217391304348,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/500Nodes/sched-1,,,,,,
scheduler_framework_extension_point_duration_seconds,0.2921509448621553,0.23170731707317074,0.38741463414634153,0.6349999999999986,1.5339999999999994,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/500Nodes/sched-1,,,,,,
scheduler_scheduling_attempt_duration_seconds,2.4974963900000007,2.6692913385826773,3.929133858267717,5.571428571428572,7.857142857142858,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/5000Nodes/sched-1,,,,,,
SchedulingThroughput,243,238,274,274,274,pods/s
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/5000Nodes/sched-1,,,,,,
scheduler_framework_extension_point_duration_seconds,0.5319121119999988,0.4351738241308794,0.7623721881390594,0.9882352941176472,3.52,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/5000Nodes/sched-1,,,,,,
scheduler_framework_extension_point_duration_seconds,0.5837165600000012,0.5128205128205128,0.7692307692307693,0.977777777777778,5.333333333333334,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/5000Nodes/sched-1,,,,,,
scheduler_scheduling_attempt_duration_seconds,5.592335021999997,5.885783718104497,7.8298906439854195,12.444444444444445,28.444444444444446,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/5000Nodes/sched-1,,,,,,
scheduler_pod_scheduling_duration_seconds,1855.170093471,1802.603550295858,4266.666666666667,4693.333333333333,5034.666666666666,ms
BenchmarkPerfScheduling/SchedulingSecrets/500Nodes/namespace-2,,,,,,
SchedulingThroughput,1000,1000,1000,1000,1000,pods/s
BenchmarkPerfScheduling/SchedulingSecrets/500Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,2.2265097320000016,1.6150061500615005,3.5818181818181816,6.25,14.333333333333334,ms
BenchmarkPerfScheduling/SchedulingSecrets/500Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,394.5796252500001,394.56880733944956,629.4311926605504,889.7560975609756,1201.9512195121954,ms
BenchmarkPerfScheduling/SchedulingSecrets/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.32566833300000075,0.24068522483940044,0.5723076923076924,1,1.8285714285714285,ms
BenchmarkPerfScheduling/SchedulingSecrets/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.3899226980000004,0.3189060642092747,0.671264367816092,1.0933333333333333,2,ms
BenchmarkPerfScheduling/SchedulingSecrets/5000Nodes/namespace-2,,,,,,
SchedulingThroughput,500,494,506,506,506,pods/s
BenchmarkPerfScheduling/SchedulingSecrets/5000Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,4.0355648910000035,3.3436055469953776,7.74,12.054794520547945,21.333333333333332,ms
BenchmarkPerfScheduling/SchedulingSecrets/5000Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,870.013178049,845.4320987654321,2102.857142857143,2331.4285714285716,2514.285714285714,ms
BenchmarkPerfScheduling/SchedulingSecrets/5000Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.7146354230000007,0.4438040345821326,1.4117647058823528,2.382222222222222,5.565217391304348,ms
BenchmarkPerfScheduling/SchedulingSecrets/5000Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.9306423460000001,0.6967340590979784,1.6457142857142857,2.7885714285714283,5.714285714285715,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/500Nodes/namespace-2,,,,,,
SchedulingThroughput,250,288,320,320,320,pods/s
BenchmarkPerfScheduling/SchedulingInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,2.078703848999999,1.462937062937063,4.641758241758242,6.4,12.218181818181819,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.7439620569999995,0.39762845849802375,1.6,2.7428571428571433,5.661538461538462,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,7.055034415999992,5.101010101010101,15.290322580645162,24.103896103896105,37.333333333333336,ms
