,Average,Perc50,Perc90,Perc95,Perc99,Unit
BenchmarkPerfScheduling/SchedulingBasic/500Nodes/namespace-2,,,,,,
SchedulingThroughput,1000,1000,1000,1000,1000,pods/s
BenchmarkPerfScheduling/SchedulingBasic/500Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,1.9207861219999998,1.601684717208183,3.3663366336633667,5.333333333333333,10.461538461538462,ms
BenchmarkPerfScheduling/SchedulingBasic/500Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,307.43767930400026,302.26600985221677,569.6703296703297,604.8351648351648,632.967032967033,ms
BenchmarkPerfScheduling/SchedulingBasic/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.16914538199999993,0.1392156862745098,0.36462585034013606,0.5454545454545455,0.787878787878788,ms
BenchmarkPerfScheduling/SchedulingBasic/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.38479869999999977,0.3223587223587223,0.736,1.1777777777777778,1.8666666666666667,ms
BenchmarkPerfScheduling/SchedulingBasic/5000Nodes/namespace-2,,,,,,
SchedulingThroughput,901,901,901,901,901,pods/s
BenchmarkPerfScheduling/SchedulingBasic/5000Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,2.3762793170000003,1.673854447439353,4.054054054054054,6.756756756756757,14.476190476190476,ms
BenchmarkPerfScheduling/SchedulingBasic/5000Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,508.1582613200003,515.1401869158879,1087.8078078078079,1183.9039039039042,1260.780780780781,ms
BenchmarkPerfScheduling/SchedulingBasic/5000Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.26967229200000004,0.16993006993006993,0.611965811965812,0.7829059829059829,1.6,ms
BenchmarkPerfScheduling/SchedulingBasic/5000Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.5872729510000005,0.558887171561051,0.9142857142857143,1.4857142857142858,3.1000000000000005,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/500Nodes/sched-1,,,,,,
SchedulingThroughput,400,400,400,400,400,pods/s
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/500Nodes/sched-1,,,,,,
scheduler_framework_extension_point_duration_seconds,0.4472046625,0.40219780219780227,0.7538461538461538,0.7978021978021979,1.5058823529411764,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/500Nodes/sched-1,,,,,,
scheduler_framework_extension_point_duration_seconds,0.25576022055137837,0.2120689655172414,0.3955172413793104,0.7776470588235284,1.4319999999999997,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/500Nodes/sched-1,,,,,,
scheduler_scheduling_attempt_duration_seconds,2.4923454699999987,2.1142857142857143,3.942857142857143,6.3076923076923075,12.444444444444445,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/500Nodes/sched-1,,,,,,
scheduler_pod_scheduling_duration_seconds,220.32497379499986,217.0700636942675,510.70707070707067,575.3535353535354,627.0707070707072,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/5000Nodes/sched-1,,,,,,
SchedulingThroughput,250,256,305,305,305,pods/s
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/5000Nodes/sched-1,,,,,,
scheduler_scheduling_attempt_duration_seconds,5.0392543270000045,4.902097902097902,7.6993006993007,10.24,27.73333333333333,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/5000Nodes/sched-1,,,,,,
scheduler_pod_scheduling_duration_seconds,1648.0798726679977,1609.436997319035,3972.0179372197313,4546.008968609865,5005.201793721973,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/5000Nodes/sched-1,,,,,,
scheduler_framework_extension_point_duration_seconds,0.4792399159999996,0.37921146953405016,0.7437185929648241,0.7939698492462313,2.8000000000000003,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/5000Nodes/sched-1,,,,,,
scheduler_framework_extension_point_duration_seconds,0.5182479550000002,0.3461988304093568,0.721189591078067,0.7955390334572491,5.248000000000001,ms
BenchmarkPerfScheduling/SchedulingSecrets/500Nodes/namespace-2,,,,,,
SchedulingThroughput,1000,1000,1000,1000,1000,pods/s
BenchmarkPerfScheduling/SchedulingSecrets/500Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,360.03992590899924,366.4957264957265,585.2991452991454,612.6495726495726,634.5299145299145,ms
BenchmarkPerfScheduling/SchedulingSecrets/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.2927695700000002,0.20923076923076925,0.5382716049382716,0.7851851851851852,1.5047619047619047,ms
BenchmarkPerfScheduling/SchedulingSecrets/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.36298966600000054,0.3153846153846154,0.5897435897435898,0.9411764705882353,1.5686274509803924,ms
BenchmarkPerfScheduling/SchedulingSecrets/500Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,2.0364094459999995,1.5813953488372092,3.081081081081081,5.185185185185185,9.600000000000001,ms
BenchmarkPerfScheduling/SchedulingSecrets/5000Nodes/namespace-2,,,,,,
SchedulingThroughput,500,352,648,648,648,pods/s
BenchmarkPerfScheduling/SchedulingSecrets/5000Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,2.983580294,2.308016877637131,3.9957805907173,7.5,24,ms
BenchmarkPerfScheduling/SchedulingSecrets/5000Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,629.3792387570002,618.021978021978,1145.2631578947367,1212.6315789473686,1266.5263157894738,ms
BenchmarkPerfScheduling/SchedulingSecrets/5000Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.5330280159999998,0.3302083333333333,0.7911111111111111,1.4962962962962965,5.485714285714287,ms
BenchmarkPerfScheduling/SchedulingSecrets/5000Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.645894686000001,0.5434920634920635,0.7974603174603175,2.329824561403509,5,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/500Nodes/namespace-2,,,,,,
SchedulingThroughput,414,238,590,590,590,pods/s
BenchmarkPerfScheduling/SchedulingInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,4.214997969000002,3.2836970474967906,9.361702127659575,13.617021276595747,24.72727272727273,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,940.1088963729986,976.0471976401179,1840.8988764044946,2200.449438202247,2488.0898876404494,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,1.261564727000003,0.7802281368821293,2.780141843971631,3.9563636363636365,6.283636363636364,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.45556318500000037,0.32525773195876295,1.097872340425532,1.523404255319149,3.15,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/5000Nodes/namespace-2,,,,,,
SchedulingThroughput,166.66666666666666,176,193,193,193,pods/s
BenchmarkPerfScheduling/SchedulingInTreePVs/5000Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,2777.838244494001,2842.4199288256227,4664.483985765125,4892.241992882562,5074.448398576513,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/5000Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,1.9910379590000011,1.317464424320828,3.1278195488721807,6.195744680851064,12.471794871794872,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/5000Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.6247351509999985,0.44385964912280707,0.7947368421052632,2.2095238095238097,5.557894736842106,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/5000Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,9.369370439,6.528445006321113,15.452991452991453,27.389830508474578,55,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/500Nodes/namespace-2,,,,,,
SchedulingThroughput,365.5,218,513,513,513,pods/s
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,4.632135991000005,3.3531799729364002,9.731958762886599,13.855670103092782,26.18181818181818,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,1031.648425092,1064.737793851718,2152.356687898089,2356.1783439490446,2519.235668789809,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,1.4558947320000009,1.202226345083488,2.8722891566265063,4.244897959183674,9.846153846153847,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.4887459480000004,0.33128342245989306,1.12,1.5410526315789475,3.781818181818182,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/5000Nodes/namespace-2,,,,,,
SchedulingThroughput,160.83333333333334,170,184,184,184,pods/s
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/5000Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,9.770255916999982,6.732240437158469,16.20779220779221,26.5974025974026,51.478260869565226,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/5000Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,2956.1769226529996,3023.733826247689,4916.52495378928,5748.771929824562,9341.754385964912,ms
