,Average,Perc50,Perc90,Perc95,Perc99,Unit
BenchmarkPerfScheduling/SchedulingBasic/500Nodes/namespace-2,,,,,,
SchedulingThroughput,1000,1000,1000,1000,1000,pods/s
BenchmarkPerfScheduling/SchedulingBasic/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.1868322990000004,0.15227272727272728,0.3815950920245399,0.5971830985915494,1.1555555555555554,ms
BenchmarkPerfScheduling/SchedulingBasic/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.41307100899999993,0.3291989664082688,0.762589928057554,1.2000000000000002,2.1333333333333333,ms
BenchmarkPerfScheduling/SchedulingBasic/500Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,2.0671650139999995,1.6097560975609757,3.5094339622641515,5.655172413793104,11.2,ms
BenchmarkPerfScheduling/SchedulingBasic/500Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,340.7907852919994,337.54253308128546,579.5085066162571,609.7542533081286,633.9508506616257,ms
BenchmarkPerfScheduling/SchedulingBasic/5000Nodes/namespace-2,,,,,,
SchedulingThroughput,839,839,839,839,839,pods/s
BenchmarkPerfScheduling/SchedulingBasic/5000Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,2.4982618309999993,1.859106529209622,4.3544303797468356,6.886075949367089,13.538461538461537,ms
BenchmarkPerfScheduling/SchedulingBasic/5000Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,549.6027151749996,539.1666666666666,1111.1345646437996,1195.5672823218997,1263.11345646438,ms
BenchmarkPerfScheduling/SchedulingBasic/5000Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.2887102079999999,0.18038585209003216,0.648062015503876,0.8186046511627907,1.5627906976744188,ms
BenchmarkPerfScheduling/SchedulingBasic/5000Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.6329315299999988,0.6082397003745319,1.0133333333333334,1.795918367346939,3.102040816326531,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/500Nodes/sched-1,,,,,,
SchedulingThroughput,400,400,400,400,400,pods/s
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/500Nodes/sched-1,,,,,,
scheduler_scheduling_attempt_duration_seconds,2.595320227499999,2.740458015267176,3.9618320610687023,6.500000000000001,13.09090909090909,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/500Nodes/sched-1,,,,,,
scheduler_pod_scheduling_duration_seconds,240.0349091949998,232.72727272727272,535.0819672131147,587.5409836065573,629.5081967213114,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/500Nodes/sched-1,,,,,,
scheduler_framework_extension_point_duration_seconds,0.4750533000000002,0.4449197860962567,0.7871657754010696,1.1733333333333336,1.6,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/500Nodes/sched-1,,,,,,
scheduler_framework_extension_point_duration_seconds,0.27895189724310804,0.22287234042553195,0.39265957446808514,0.7728571428571416,2.243199999999997,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/5000Nodes/sched-1,,,,,,
SchedulingThroughput,244.25,244,263,263,263,pods/s
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/5000Nodes/sched-1,,,,,,
scheduler_scheduling_attempt_duration_seconds,5.584410843000001,5.8263027295285355,7.811414392059554,12.17391304347826,28.88888888888889,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/5000Nodes/sched-1,,,,,,
scheduler_pod_scheduling_duration_seconds,1859.3884882199993,1803.130434782609,4255.135135135135,4687.5675675675675,5033.513513513513,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/5000Nodes/sched-1,,,,,,
scheduler_framework_extension_point_duration_seconds,0.5389917689999999,0.42868852459016393,0.7565573770491805,0.7975409836065573,3.911111111111112,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/5000Nodes/sched-1,,,,,,
scheduler_framework_extension_point_duration_seconds,0.5662320929999995,0.530316742081448,0.7716440422322774,0.9600000000000001,5.028571428571429,ms
BenchmarkPerfScheduling/SchedulingSecrets/500Nodes/namespace-2,,,,,,
SchedulingThroughput,1000,1000,1000,1000,1000,pods/s
BenchmarkPerfScheduling/SchedulingSecrets/500Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,2.168355109000002,1.6097560975609757,3.5238095238095237,5.754385964912281,12,ms
BenchmarkPerfScheduling/SchedulingSecrets/500Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,393.1521505900005,395.74311926605503,630.6055045871559,899.0476190476192,1203.8095238095239,ms
BenchmarkPerfScheduling/SchedulingSecrets/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.31807186299999946,0.25600000000000006,0.527536231884058,0.8571428571428572,1.8285714285714285,ms
BenchmarkPerfScheduling/SchedulingSecrets/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.38958133699999997,0.31990407673860916,0.6693877551020408,1.0440677966101697,1.5864406779661018,ms
BenchmarkPerfScheduling/SchedulingSecrets/5000Nodes/namespace-2,,,,,,
SchedulingThroughput,500,397,603,603,603,pods/s
BenchmarkPerfScheduling/SchedulingSecrets/5000Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,3.1163357819999984,2.796747967479675,5.428571428571429,7.809523809523809,19.692307692307693,ms
BenchmarkPerfScheduling/SchedulingSecrets/5000Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,731.3300291210012,741.1683848797252,1181.0309278350517,1236.0137457044673,1280,ms
BenchmarkPerfScheduling/SchedulingSecrets/5000Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.5679150939999994,0.33908205841446454,1.0632911392405064,1.5696202531645569,4.923076923076923,ms
BenchmarkPerfScheduling/SchedulingSecrets/5000Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.6852672410000006,0.6108723135271809,1.1924528301886792,2.23448275862069,4.430769230769231,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/500Nodes/namespace-2,,,,,,
SchedulingThroughput,360,183,537,537,537,pods/s
BenchmarkPerfScheduling/SchedulingInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,4.558266835999997,3.295336787564767,9.617021276595745,13.872340425531915,26.90909090909091,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,1048.9489861319998,1070.0350877192984,2151.054313099042,2355.527156549521,2519.105431309904,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,1.4075984790000002,1.131746031746032,2.9125,4.593548387096774,9.066666666666666,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.48910736799999954,0.3294422827496758,1.134065934065934,1.5736263736263736,3.1578947368421053,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/5000Nodes/namespace-2,,,,,,
SchedulingThroughput,149.66666666666666,163,180,180,180,pods/s
BenchmarkPerfScheduling/SchedulingInTreePVs/5000Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,10.45352837699999,10.022813688212928,17.417721518987342,27.544303797468356,53.33333333333333,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/5000Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,3132.643993787003,3225.1968503937005,6110.967741935484,8175.483870967742,9827.09677419355,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/5000Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,2.1235354589999993,1.5633587786259544,3.52463768115942,5.843478260869565,12,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/5000Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.7086226429999996,0.5981935483870968,1.0482758620689656,2.5411764705882356,5.733333333333333,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/500Nodes/namespace-2,,,,,,
SchedulingThroughput,333.3333333333333,386,460,460,460,pods/s
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,5.241588781999996,3.3986013986013988,11.44954128440367,15.119266055045872,29.176470588235293,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,1204.536997979999,1212.3218390804598,2278.0616740088108,2419.0308370044054,2531.8061674008813,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,1.69463915,1.3190672153635117,3.2426666666666666,5.376,11.054545454545456,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.5334085889999997,0.338121546961326,1.1680000000000001,1.568,4.342857142857143,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/5000Nodes/namespace-2,,,,,,
SchedulingThroughput,142.85714285714286,157,159,159,159,pods/s
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/5000Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,10.994498573000012,11.53460972017673,20.097560975609756,29.853658536585364,57.08108108108108,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/5000Nodes/namespace-2,,,,,,
