,Average,Perc50,Perc90,Perc95,Perc99,Unit
BenchmarkPerfScheduling/SchedulingBasic/500Nodes/namespace-2,,,,,,
SchedulingThroughput,1000,1000,1000,1000,1000,pods/s
BenchmarkPerfScheduling/SchedulingBasic/500Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,2.2923955550000006,1.6675567423230975,3.852760736196319,6.412698412698413,13.454545454545455,ms
BenchmarkPerfScheduling/SchedulingBasic/500Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,456.1603682300001,458.0257510729614,1007.6595744680852,1143.8297872340427,1252.7659574468087,ms
BenchmarkPerfScheduling/SchedulingBasic/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.37267393699999946,0.3177884615384616,0.6936708860759493,1.1741935483870969,2.4000000000000004,ms
BenchmarkPerfScheduling/SchedulingBasic/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.46791634800000037,0.32903225806451614,0.7787878787878788,1.2586666666666666,2.5846153846153848,ms
BenchmarkPerfScheduling/SchedulingBasic/5000Nodes/namespace-2,,,,,,
SchedulingThroughput,500,425,575,575,575,pods/s
BenchmarkPerfScheduling/SchedulingBasic/5000Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,3.164162885,3.091954022988506,4.444444444444445,9.50943396226415,15.547169811320755,ms
BenchmarkPerfScheduling/SchedulingBasic/5000Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,783.9154510700007,776.943231441048,1645.7142857142858,2102.857142857143,2468.571428571429,ms
BenchmarkPerfScheduling/SchedulingBasic/5000Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.6516325020000011,0.5799442896935934,0.88,1.85,5.180952380952381,ms
BenchmarkPerfScheduling/SchedulingBasic/5000Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.7635643379999999,0.6265005662514157,1.1675675675675676,2.3384615384615386,4.430769230769231,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/500Nodes/sched-1,,,,,,
SchedulingThroughput,400,400,400,400,400,pods/s
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/500Nodes/sched-1,,,,,,
scheduler_scheduling_attempt_duration_seconds,2.8138475525000004,3.023668639053254,3.970414201183432,6.7272727272727275,14,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/500Nodes/sched-1,,,,,,
scheduler_pod_scheduling_duration_seconds,291.32541106249994,281.9672131147541,565.1461988304094,602.5730994152048,632.514619883041,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/500Nodes/sched-1,,,,,,
scheduler_framework_extension_point_duration_seconds,0.6964404249999997,0.6090534979423868,1.35,1.6,3.022222222222222,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/500Nodes/sched-1,,,,,,
scheduler_framework_extension_point_duration_seconds,0.3050040451127819,0.2624489795918368,0.39273469387755106,0.8559999999999977,2.135999999999998,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/5000Nodes/sched-1,,,,,,
SchedulingThroughput,200,212,258,258,258,pods/s
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/5000Nodes/sched-1,,,,,,
scheduler_scheduling_attempt_duration_seconds,6.029792799999992,6.016260162601625,7.874564459930313,14.571428571428571,30.73684210526316,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/5000Nodes/sched-1,,,,,,
scheduler_pod_scheduling_duration_seconds,2046.3865417890008,1995.7894736842106,4420.546448087432,4770.273224043716,5050.0546448087425,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/5000Nodes/sched-1,,,,,,
scheduler_framework_extension_point_duration_seconds,0.9063328970000003,0.6453987730061349,1.2963503649635038,1.5883211678832119,8.685714285714287,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/5000Nodes/sched-1,,,,,,
scheduler_framework_extension_point_duration_seconds,0.7249678849999996,0.6127659574468085,0.7829787234042553,1.3714285714285717,6.068965517241379,ms
BenchmarkPerfScheduling/SchedulingSecrets/500Nodes/namespace-2,,,,,,
SchedulingThroughput,817,817,817,817,817,pods/s
BenchmarkPerfScheduling/SchedulingSecrets/500Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,2.655505933,1.8431703204047216,3.949206349206349,6.666666666666666,22.666666666666668,ms
BenchmarkPerfScheduling/SchedulingSecrets/500Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,502.284267022,500.1481481481482,1081.8575851393189,1180.9287925696594,1260.185758513932,ms
BenchmarkPerfScheduling/SchedulingSecrets/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.5232793659999987,0.3335113484646195,0.7922077922077922,1.3875,4,ms
BenchmarkPerfScheduling/SchedulingSecrets/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.478568006,0.32903225806451614,0.7846153846153847,1.3625,3.555555555555556,ms
BenchmarkPerfScheduling/SchedulingSecrets/5000Nodes/namespace-2,,,,,,
SchedulingThroughput,500,487,513,513,513,pods/s
BenchmarkPerfScheduling/SchedulingSecrets/5000Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.8977061959999992,0.6406738868832732,1.5885714285714287,2.7701492537313435,8.8,ms
BenchmarkPerfScheduling/SchedulingSecrets/5000Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.8108420489999999,0.6280501710376283,1.7043478260869567,2.573913043478261,4.48,ms
BenchmarkPerfScheduling/SchedulingSecrets/5000Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,3.6813445399999964,3.1534025374855825,7.142857142857143,12.205128205128204,19.692307692307693,ms
BenchmarkPerfScheduling/SchedulingSecrets/5000Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,919.159216357,938.0392156862745,2106.0992907801415,2333.049645390071,2514.6099290780144,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/500Nodes/namespace-2,,,,,,
SchedulingThroughput,345.5,184,507,507,507,pods/s
BenchmarkPerfScheduling/SchedulingInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,1119.4798370520011,1117.557251908397,2211.226158038147,2385.6130790190737,2525.122615803815,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,1.4753630820000005,1.2568047337278108,2.943511450381679,4.606060606060606,8.32,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.6054292839999996,0.34388489208633094,1.3805309734513274,2.142857142857143,4.571428571428572,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,4.6380025719999995,3.35685210312076,9.68421052631579,13.894736842105264,26.90909090909091,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/5000Nodes/namespace-2,,,,,,
SchedulingThroughput,144.5,154,175,175,175,pods/s
BenchmarkPerfScheduling/SchedulingInTreePVs/5000Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,10.528113538999989,8,19.121951219512194,28.878048780487806,56,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/5000Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,3178.6299906899962,3234.4910179640724,6331.603053435115,8285.801526717558,9849.160305343512,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/5000Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,2.292735693999996,2.18961038961039,3.6957746478873243,5.949295774647887,12.047058823529412,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/5000Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.8919278659999998,0.6304147465437787,1.4564102564102563,2.9760000000000004,6.133333333333334,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/500Nodes/namespace-2,,,,,,
SchedulingThroughput,333.3333333333333,398,427,427,427,pods/s
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,5.069791585000006,3.449275362318841,11.185840707964603,14.72566371681416,29.037037037037035,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,1246.235796365,1234.3942992874108,2287.6595744680853,2423.8297872340427,2532.7659574468084,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,1.688424232999999,1.3153638814016175,3.132394366197183,5.301492537313433,11.130434782608695,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.6079711390000008,0.35384615384615387,1.4050420168067226,2.141935483870968,3.1741935483870964,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/5000Nodes/namespace-2,,,,,,
SchedulingThroughput,125,152,163,163,163,pods/s
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/5000Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,11.074531319999998,9.689440993788821,20.405797101449277,32,58.12244897959184,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/5000Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,3401.918536121997,3378.0869565217395,7502.032085561497,8871.01604278075,9966.20320855615,ms
